MATRICULA;EMPRESA;TITULO DO CARGO;DESC. SITUACAO;Sindicato
35255;1410;ANALISTA DE QUALIDADE DE SOFTWARE II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35183;1410;ANALISTA DE QUALIDADE DE SOFTWARE I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35185;1410;ANALISTA DE QUALIDADE DE SOFTWARE I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35260;1410;ANALISTA DE QUALIDADE DE SOFTWARE I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35195;1410;ENGENHEIRO DE DADOS II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35401;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34053;1410;ANALISTA DE NEGOCIOS III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34342;1410;GERENTE DE OPERACOES I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34907;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35221;1410;DESENVOLVEDOR III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30207;1410;DESENVOLVEDOR III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35370;1410;DESENVOLVEDOR III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35205;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35611;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35648;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35238;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35516;1410;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35074;1410;DESENVOLVEDOR DE RPA I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35075;1410;DESENVOLVEDOR DE RPA I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
